DISTRICTNAME,UNITNAME,Crime_No,Year,RI,Noofvehicle_involved,Accident_Classification,Accident_Spot,Accident_Location,Accident_SubLocation,Accident_SpotB,Main_Cause,Hit_Run,Severity,Collision_Type,Junction_Control,Road_Character,Road_Type,Surface_Type,Surface_Condition,Road_Condition,Weather,Lane_Type,Road_Markings,Spot_Conditions,Side_Walk,Collision_TypeB,Accident_Road,Landmark_first,landmark_second,Distance_LandMark_First,Distance_LandMark_Second,Accident_Description,Latitude,Longitude,Time
Ballari,Bellary Rural PS,10445033820200039,2020,1,1,Road Accidents,Narrow road,Rural Areas,Open area,Other,Not Applicable,Not Applicable,Grievous Injury,Hit bicyclist,Uncontrolled,Others,Minor District Road,Kutcha,Others,Not Applicable,Others,Others,Centre Broken Line,Centre Broken Line,Not Applicable,Others,Ballari-Kolagallu,1,,12km,,ದಿನಾಂಕ 13.02.2020 ರಂದು ಬಳ್ಳಾರಿ ಗ್ರಾಮೀಣ ಪೊಲೀಸ್ ಠಾಣಾ ಸರಹದ್ದಿನಲ್ಲಿರುವ ಕೊಳಗಲ್ ರಸ್ತೆಯಲ್ಲಿರುವ ಭ್ರಾಂದಿಶಾಫ್  ಎದುರಿಗೆ  ರಸ್ತೆಯಲ್ಲಿ ಪಂಚರ ಸಮಕ್ಷಮ ಬೆಳಿಗ್ಗೆ 09-15 ರಿಂದ 10-00 ಗಂಟೆಯವರಿಗೆ ಪಂಚನಾಮೆ ಮಾಡಿರುತ್ತದೆ.,15.16893,76.868836,09:32:02 PM
Ballari,Bellary Rural PS,10445033820200072,2020,1,1,Road Accidents,Narrow road,Rural Areas,Near or inside a village,Other,Not Applicable,No,Grievous Injury,Hit pedestrian,Controlled,Others,NH,Bitumen(Tar),Dry,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Others,Ballari - siruguppa road,Infront of mayanna house vacrani camp,,10 KM,,ಬಳ್ಳಾರಿ ಸಿರುಗುಪ್ಪಾ ರಸ್ತೆಯಲ್ಲಿರುವ ವಕ್ರಾಣಿ ಕ್ಯಾಂಪಿನಲ್ಲಿರುವ ಮಾಯಣ್ಣನವರ ಮನೆಯ ಮುಂದಿನ ರಸ್ತೆಯಲ್ಲಿ,15.194566,76.911469,10:25:50 AM
Ballari,Bellary Rural PS,10445033820200060,2020,1,1,Road Accidents,Narrow road,Rural Areas,Near a factory industrial area,Other,Not Applicable,No,Damage Only,Others,Controlled,Others,NH,Bitumen(Tar),Dry,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Others,Ballari Bengalore road ballari,Near kalmikal food factory,,10KM,,ಬಳ್ಳಾರಿ ಬೆಂಗಳೂರು ರಸ್ತೆಯಲ್ಲಿರುವ ಹಲಕುಂದಿ ಗ್ರಾಮದ ಹತ್ತಿರವಿರುವ ಕಲ್ಮಿಹಳ್ಳಿ ಆಗ್ರೋ ಪುಡ್ಸ್ ಪ್ಯಾಕ್ಟರಿಯ ಮುಂದಿನ ರಸ್ತೆಯಲ್ಲಿ,15.063632,76.875384,06:19:47 AM
Ballari,Bellary Rural PS,10445033820200003,2020,1,2,Road Accidents,Narrow road,Rural Areas,Open area,Other,Not Applicable,No,Simple Injury,Vehicle to Vehicle,Controlled,Others,NH,Bitumen(Tar),Dry,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Others,Ballari bangalore road,Infront of Form ballari bengalore road ballari,,10 KM,,ಬಳ್ಳಾರಿ ಗ್ರಾಮೀಣ ಪೊಲೀಸ್ ಠಾಣೆಯ ಸರಹದ್ದಿನಲ್ಲಿರುವ ಬಳ್ಳಾರಿ ಬೆಂಗಳೂರು ರಸ್ತೆಯಲ್ಲಿರು ಕೋಳಿ ಪಾರಂ ಮುಂದಿನ ರಸ್ತೆಯಕಲ್ಲಿ,15.080595,76.88242,06:03:26 AM
Ballari,Bellary Rural PS,10445033820200052,2020,1,1,Road Accidents,Other,Rural Areas,Open area,Straight and flat,Human Error,Yes,Fatal,Hit pedestrian,Not at  Junction,Straight and flat,NH,Bitumen(Tar),Dry,No influence on accident,Clear,DualLane,Centre Broken Line,Centre Broken Line,Concrete,Hit and Run,BALLARI - BANGALORE ROAD,NEAR OMC RAILWAY GATE,,500 Mt,,ಬಳ್ಳಾರಿ-ಬೆಂಗಳೂರು ರಸ್ತೆಯಲ್ಲಿನ ಓಎಂಸಿ ರೈಲ್ವೇ ಗೇಟ್ ಹತ್ತಿರ,15.051958,76.869563,12:32:48 PM
Ballari,Bellary Rural PS,10445033820200054,2020,1,1,Road Accidents,Curves,City/Town,Near a factory industrial area,Other,Not Applicable,Not Applicable,Grievous Injury,Vehicle to Vehicle,Uncontrolled,Others,Others,Not Applicable,Others,Not Applicable,Others,Others,Centre Broken Line,Others,Not Applicable,Others,Ballari bangalore road ballari,11,1,12km,,ದಿನಾಂಕ 26.02.2020 ರಂದು ಬಳ್ಳಾರಿ ಗ್ರಾಮೀಣ ಪೊಲೀಸ್ ಠಾಣಾ ಸರಹದ್ದಿನಲ್ಲಿರುವ ಬಳ್ಳಾರಿ ಬೆಂಗಳೂರು ರಸ್ತೆಯಲ್ಲಿರುವ ಹಲಕುಂದಿ ಹತ್ತಿರ ಿರುವ ಜಯ ಮುರುಗನ್ ಟ್ರಾನ್ಸ್ ಪೋರ್ಟ್ ಎದುರಿಗೆ ಪಂಚರ ಸಮಕ್ಷಮ ಪಂಚನಾಮೆ ಮಾಡಿದೆ.,15.07583,76.881209,12:05:03 PM
Ballari,Bellary Rural PS,10445033820200033,2020,1,1,Road Accidents,Other,Rural Areas,Open area,Straight and flat,Human Error,No,Grievous Injury,Others,Uncontrolled,Others,State Highway,Bitumen(Tar),Dry,Not Applicable,Clear,FourLane,Centre Broken Line,Centre Broken Line,Concrete,Skidding or Self accident,BALLARI TO MOKA,POLE,,50,,"ಸಿರಿವಾರ ಕ್ರಾಸ್, ಮಾರೆಪ್ಪ ಹೊಲದ ಹತ್ತಿರ ಬಳ್ಳಾರಿ - ಮೋಕಾ ರಸ್ತೆಯಲ್ಲಿ",15.191303,76.992516,08:34:45 PM
Ballari,Bellary Rural PS,10445033820200058,2020,1,1,Road Accidents,Junction,Rural Areas,Open area,Other,Not Applicable,No,Damage Only,Others,Controlled,Others,State Highway,Bitumen(Tar),Dry,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Overturning,Ballari moka road near chaganuru cross,Near chaganuru crass moka road ballari,,15KM,,ಬಳ್ಳಾರಿ ಮೋಕಾ ರಸ್ತೆಯಲ್ಲಿರುವ ಚಾಗನೂರು ಕ್ರಾಸ್ ನಲ್ಲಿ,15.200337,77.008207,02:38:21 AM
Ballari,Bellary Rural PS,10445033820200008,2020,1,1,Road Accidents,Road hump or Rumble strips,Rural Areas,Open area,Other,Human Error,Not Applicable,Grievous Injury,Others,Uncontrolled,Hump,NH,Bitumen(Tar),Dry,Not Applicable,Clear,Others,Centre Broken Line,Others,Not Applicable,Side swipe,Ballari-Bengaluru Road,1,,12km,,ದಿನಾಂಕ 13.01.2020 ರಂದು ಬಳ್ಳಾರಿ ಗ್ರಾಮೀಣ ಪೊಲೀಸ್ ಠಾಣಾ ಸರಹದ್ದಿನಲ್ಲಿರುವ ಹಲಕುಂದಿ ಗ್ರಾಮದ ಪಕ್ಕದಲ್ಲಿರುವ ಡಬ್ಬೆ ಅಂಗಡಿಯ ಮುಂದೆ ಪಂಚರ ಸಮಕ್ಷಮ ಪಂಚನಾಮೆ ಮಾಡಿರುತ್ತದೆ.,15.084253,76.884051,04:58:37 PM
Ballari,Bellary Rural PS,10445033820200036,2020,1,1,Road Accidents,Curves,Rural Areas,Near or inside a village,Other,Human Error,No,Simple Injury,Others,Uncontrolled,Others,NH,Bitumen(Tar),Others,Not Applicable,Clear,Others,Centre Broken Line,Others,Not Applicable,Others,Ballri-Siruguppa Road,1,,12km,,ದಿನಾಂಕ 09.02.2020 ರಂದು ಮಧ್ಯಾಹ್ನ ಅಪಘಾತವಾದ ಸ್ಥಳದಲ್ಲಿ ಪಂಚರ ಸಮ್ಷಮ ಪಂಚನಾಮೆ ಮಾಡಿದೆ.,15.218672,76.910368,11:06:02 AM
