DISTRICTNAME,UNITNAME,Crime_No,Year,RI,Noofvehicle_involved,Accident_Classification,Accident_Spot,Accident_Location,Accident_SubLocation,Accident_SpotB,Main_Cause,Hit_Run,Severity,Collision_Type,Junction_Control,Road_Character,Road_Type,Surface_Type,Surface_Condition,Road_Condition,Weather,Lane_Type,Road_Markings,Spot_Conditions,Side_Walk,Collision_TypeB,Accident_Road,Landmark_first,landmark_second,Distance_LandMark_First,Distance_LandMark_Second,Accident_Description,Latitude,Longitude,Time
Vijayanagara,Arasikere PS,10438011720190050,2019,1,1,Road Accidents,Other,Rural Areas,Open area,Other,Human Error,No,Fatal,Others,Uncontrolled,Others,Others,Bitumen(Tar),Dry,No influence on accident,Clear,Others,Centre Broken Line,Centre Broken Line,Concrete,Others,Kammathahalli-Hunasikatte Road,Land,,19,,.          ದಿನಾಂಕ: 21.04.2019 ರಂದು ಸಂಜೆ 5.30 ಗಂಟೆಯ ಸಮಯದಲ್ಲಿ ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕಿನ ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಕಮ್ಮತ್ತಹಳ್ಳಿ ಕ್ರಾಸ್ ಮತ್ತು ಹುಣಸೇಕಟ್ಟೆ ಗ್ರಾಮಗಳ ಮಧ್ಯೆದ ನಿರಾಳರ ಸಿದ್ದಪ್ಪರವರ ಹೊಲದ ಹತ್ತಿರ ಹಾದು ಹೋಗಿರುವ ಕಮ್ಮತ್ತಹಳ್ಳಿ-ಹುಣಸೇಕಟ್ಟೆ ರಸ್ತೆಯಲ್ಲಿ,14.620421,76.071585,07:06:50 AM
Vijayanagara,Arasikere PS,10438011720190094,2019,1,1,Not Applicable,Offset,Rural Areas,Open area,Other,Human Error,No,Fatal,Others,Uncontrolled,Crest of hill,Others,Not Applicable,Others,Not Applicable,Clear,Others,Centre Broken Line,Centre Broken Line,Concrete,Skidding or Self accident,Hill Place,Hill Place,,15,,"ದಿನಾಂಕ-31.08.2019 ರಂದು ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಯ ಪುಣಭಗಟ್ಟ ಗ್ರಾಮದ ಉಪ್ಪು ಹಳ್ಳದ ಚೆಕ್ ಡ್ಯಾಂ ಬಳಿಯಲ್ಲಿ ಈ ಕೆಳಗೆ ಸಹಿ ಮಾಡಲಿರುವ ಪಂಚರಾದ ನಮ್ಮಗಳ ಸಮಕ್ಷಮ ಹೇಳಿ ಬರೆಯಿಸಿದ ಸ್ಥಳ ಪಂಚನಾಮೆ. ಚೆಕ್ಕುಬಂದಿ- ಪೂರ್ವಕ್ಕೆ- ಪುಣಭಗಟ್ಟೆ ಗ್ರಾಮದ ನಂಜಪ್ಪ ತಂದೆ ನಾಗಪ್ಪ ಇವರ ಜಮೀನು ಇರುತ್ತದೆ. ಪಶ್ಚಿಮಕ್ಕೆ- ಉಪ್ಪುಹಳ್ಳ ಅದರಾಚೆ ಕಡೇಕಲ್ ತಾಂಡಾದ ಸಕ್ರನಾಯ್ಕ ಇವರ ಜಮೀನು ಇರುತ್ತದೆ. ಉತ್ತರಕ್ಕೆ- ಉಪ್ಪು ಹಳ್ಳ ಮುಂದುವರೆದಿದ್ದು, ಮುಂದುಗಡೆ ಚೆಕ್ ಡ್ಯಾಂ ಇರುತ್ತದೆ. ದಕ್ಷಿಣಕ್ಕೆ- ಸದರಿ ಹಳ್ಳ ಮುಂದುವರೆದಿರುತ್ತದೆ.  ಈ ಪಂಚನಾಮೆಯನ್ನು ಈ ದಿನ ಸಂಜೆ 04.00 ಗಂಟೆಯಿಂದ 05.00 ಪಿ.ಎಂ.ವರೆಗೆ ಸ್ಥಳದಲ್ಲೇ ಬರೆದು ಮುಗಿಸಲಾಯಿತು.",14.602182,76.011386,10:49:03 PM
Vijayanagara,Arasikere PS,10438011720190040,2019,1,2,Road Accidents,Junction,Rural Areas,Near Bus stop,Straight and flat,Human Error,No,Grievous Injury,Hit pedestrian,No signal lights,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Centre Broken Line,Others,Concrete,Others,Anaji - Uchangidurga Road,Near Ucchangidurga Village,,12 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಉಚ್ಚಂಗಿದುರ್ಗ ಗ್ರಾಮದ ಪಾದಗಟ್ಟೆಯ ಹತ್ತಿರದ ಸ್ತಳವಾಗಿರುತ್ತದೆ,14.564065,76.052985,06:47:18 PM
Vijayanagara,Arasikere PS,10438011720190091,2019,1,1,Road Accidents,Cross roads,Rural Areas,Open area,Other,Human Error,No,Simple Injury,Others,Uncontrolled,Curve,Others,Bitumen(Tar),Dry,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Side swipe,Village Roads,00,,15,,"ದಿನಾಂಕ-28.08.2019 ರಂದು ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಯ ಉಚ್ಚಂಗಿದುರ್ಗ-ಅಣಜೀಗೆರೆ ರಸ್ತೆಯ ಇಂಡೇನ್ ಗ್ಯಾಸ್ ಗೋಡನ್ ಹತ್ತಿರದ ನಾಯಕರ ರಾಜಪ್ಪ ಇವರ ಜಮೀನಿನ ಬಳಿಯಲ್ಲಿ ಈ ಕೆಳಗೆ ಸಹಿ ಮಾಡಲಿರುವ ಪಂಚರಾದ ನಮ್ಮಗಳ ಸಮಕ್ಷಮ ಹೇಳಿ ಬರೆಯಿಸಿದ ಸ್ಥಳ ಕೃತ್ಯ ಸ್ಥಳದ ಸ್ಥಳ ಪಂಚನಾಮೆ. **************   1] ಶ್ರೀ ಪ್ರಸನ್ನ ಸ್ವಾಮಿ ತಂದೆ ಗುರುಮೂರ್ತಯ್ಯ, 52 ವರ್ಷ, ಜಂಗಮರು, ಜಿರಾಯ್ತಿ ಕೆಲಸ ವಾಸ ಜಂಗಮ ತುಂಬಿಗೆರೆ ಗ್ರಾಮ, ಹರಪನಹಳ್ಳಿ(ತಾ) 2] ಶ್ರೀ ಮಂಜುನಾಥ ತಂದೆ ಕೆಂಚನಗೌಡ, 40 ವರ್ಷ, ಲಿಂಗಾಯತ ಜನಾಂಗ, ಜಿರಾಯ್ತಿ ಕೆಲಸ ವಾಸ ಜಂಗಮ ತುಂಬಿಗೆರೆ ಗ್ರಾಮ, ಹರಪನಹಳ್ಳಿ(ತಾ)  *************     ಈ ದಿವಸ ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ಠಾಣಾಧಿಕಾರಿಯವರಾದ ಶ್ರೀ ಉಮಾಪತಿ CHC-07 ರವರು ತಮ್ಮ ಠಾಣೆಯ ಗುನ್ನೆ.ನಂ-91/2019 ಕಲಂ- 279, 337 ಐ.ಪಿ.ಸಿ. ಕೇಸಿನಲ್ಲಿ ರಸ್ತೆಯಲ್ಲಿ ಹೋಗುತ್ತಿದ್ದ ನಮ್ಮಗಳನ್ನು ಮೇಲ್ಕಂಡ ಸ್ಥಳಕ್ಕೆ ಬರಮಾಡಿಕೊಂಡು ಕೇಸಿನ ವಿದ್ಯಮಾನಗಳನ್ನು ತಿಳಿಸಿ ಈ ಕೇಸಿನ ಪ್ರತ್ಯಕ್ಷ ಸಾಕ್ಷಿದಾರರಾದ ಶ್ರೀ ಅಜ್ಜನಗೌಡ ತಂದೆ ನಂದ್ಯಪ್ಪ, 40 ವರ್ಷ, ಲಿಂಗಾಯ್ತರ ಜನಾಂಗ, ಜಿರಾಯ್ತಿ ಕೆಲಸ ವಾಸ ಅಣಜೀಗೆರೆ ಗ್ರಾಮ ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಇವರನ್ನು ತೋರಿಸಿ ಇವರು ಏನನ್ನು ಹೇಳಿ ತೋರಿಸುವರೋ ಆ ಬಗ್ಗೆ ಪಂಚರಾಗಿದ್ದು ಪಂಚನಾಮೆ ಜರುಗಿಸಿಕೊಡಿ ಎಂದು ಕೇಳಿಕೊಂಡ ಮೇರೆಗೆ ನಾವುಗಳು ಪಂಚರಾಗಲು ಒಪ್ಪಿಕೊಂಡಿದ್ದು, ನಂತರ ಅಲ್ಲೇ ಇದ್ದ ಕೇಸಿನ ಪ್ರತ್ಯಕ್ಷ ಸಾಕ್ಷಿದಾರರಾದ ಶ್ರೀ ಅಜ್ಜನಗೌಡ ತಂದೆ ನಂದ್ಯಪ್ಪ ಇವರನ್ನು ವಿಚಾರಿಸಲಾಗಿ ಸದರಿಯವರು ’’ ದಿನಾಂಕ-26.08.2019 ರಂದು ಸುಮಾರು ಮದ್ಯಾಹ್ನ 12.00 ಗಂಟೆ ಸಮಯದಲ್ಲಿ ನಾನು ಹಾಗೂ ನಮ್ಮ ಸ್ನೇಹಿತರಾದ ನಮ್ಮ ಗ್ರಾಮದ ಅಂಜಿನಪ್ಪ ತಂದೆ ರೇವಣಸಿದ್ದಪ್ಪ ಇವರು ನಮ್ಮ ವಯಕ್ತಿಕ ಕೆಲಸದ ನಿಮಿತ್ತ ದಾವಣಗೆರೆಗೆ ನಮ್ಮ ಬೈಕಿನಲ್ಲಿ ಉಚ್ಚಂಗಿದುರ್ಗ-ಅಣಜೀಗೆರೆ ರಸ್ತೆಯ ಇಂಡೇನ್ ಗ್ಯಾಸ್ ಗೋಡನ್ ಹತ್ತಿರದ ನಾಯಕರ ರಾಜಪ್ಪ ಇವರ ಜಮೀನಿನಿಂದ ಸ್ವಲ್ಪ ದೂರದಲ್ಲಿ ಹೋಗುತ್ತಿರುವಾಗ ಅದೇ ವೇಳೆಗೆ ಉಚ್ಚಂಗಿದುರ್ಗ ಗ್ರಾಮದ ಕಡೆಯಿಂದ ಬರುತ್ತಿದ್ದ ಒಬ್ಬ ಟಾಟಾ ಏಸ್ ವಾಹನದ ಚಾಲಕನು ತನ್ನ ವಾಹನವನ್ನು ಅತಿವೇಗ ಹಾಗೂ ಅಜಾಗರೂ",14.567405,76.062578,11:10:36 PM
Vijayanagara,Arasikere PS,10438011720190005,2019,1,1,Road Accidents,Y Junction,Rural Areas,Near Bus stop,,Human Error,No,Grievous Injury,Rear end,No signal lights,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Centre Broken Line,Others,Concrete,Others,Kanchikere-Harapanahalli Raod,Near Kanchikere Village,,13 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಕಂಚಿಕೆರೆ ಗ್ರಾಮದ ಬಸ್ ನಿಲ್ದಾಣದ ಬಳಿ ಕಂಚಿಕೆರೆ-ಹರಪನಹಳ್ಳಿ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.616615,75.979119,07:02:47 AM
Vijayanagara,Arasikere PS,10438011720190073,2019,1,2,Road Accidents,Curves,Rural Areas,Open area,Curve,Human Error,Yes,Grievous Injury,Hit bicyclist,Uncontrolled,Curve,Minor District Road,Bitumen(Tar),Dry,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Hit and Run,Sattur-Singrihalli Road,00,,20 Kms,,--,14.578449,75.958352,11:30:37 PM
Vijayanagara,Arasikere PS,10438011720190074,2019,1,1,Road Accidents,Narrow road,Rural Areas,Open area,Other,Human Error,No,Fatal,Others,Uncontrolled,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Clear,SingleLane,Centre Broken Line,Centre Broken Line,Paved,Others,Davanagere-Kanchikere Road,Gadi,,30,,"ದಿನಾಂಕ: 10.07.2019 ರಂದು ಸಂಜೆ 6.00 ಗಂಟೆ ಸುಮಾರಿಗೆ ಜಂಬುಲಿಂಗನಹಳ್ಳಿ ಗ್ರಾಮದ ಸಮೀಪ ಹರಪನಹಳ್ಳಿ ಗಡಿಭಾಗದ ಹರಪನಹಳ್ಳಿ-ಕಂಚಿಕೆರೆ-ದಾವಣಗೆರೆ ರಸ್ತೆಯಲ್ಲಿ KA-35-TA-6243 ನೇ ಟ್ರ್ಯಾಕ್ಟರ್ ಚಾಲಕ ರಫೀಕ್ ಈತನು ತನ್ನ ವಾಹನವನ್ನು ಅತಿವೇಗ ಮತ್ತು ನಿರ್ಲಕ್ಷತನದಿಂದ ಚಾಲನೆ ಮಾಡಿಕೊಂಡು ಬಂದು ಒಮ್ಮೆಲೆ ರಸ್ತೆಯ ಉಬ್ಬನ್ನು ಹತ್ತಿಸಿ ಅಪಘಾತ ಪಡಿಸಿದ ಪರಿಣಾಮ ನಾನು ಗಾಯಗೊಂಡು, ನಾಗರಾಜನು ಚಿಕಿತ್ಸೆ ಫಲಕಾರಿಯಾಗದೇ ಅದೇ ದಿನ ರಾತ್ರಿ 8.10 ಗಂಟೆ ಸುಮಾರಿಗೆ ದಾವಣಗೆರೆ ಎಸ್.ಎಸ್ ಹೈಟೆಕ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಮೃತಪಟ್ಟ",14.564289,75.951364,12:03:24 PM
Vijayanagara,Arasikere PS,10438011720190142,2019,1,2,Road Accidents,Other,Rural Areas,Open area,Other,Human Error,Yes,Grievous Injury,Vehicle to Vehicle,Uncontrolled,Others,One way,Bitumen(Tar),Others,Not Applicable,Fine,Others,Centre Broken Line,Centre Broken Line,Concrete,Hit and Run,RURAL ROAD,CURRENT POLE,,20,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಯ ಕಂಚಿಕೆರೆ-ಗುಳೇದಹಟ್ಟಿ ತಾಂಡ ಟಾರ್ ರಸ್ತೆಯ ನೆಟ್ಟಿಕಲ್ ಮಟ್ಟಿ ಹತ್ತಿರ,14.618661,75.98408,12:13:59 AM
Vijayanagara,Arasikere PS,10438011720190004,2019,1,2,Road Accidents,Narrow road,Rural Areas,Open area,,Human Error,No,Simple Injury,Head on,No signal lights,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Centre Broken Line,Others,No Side Walk,Others,Arasikere-Ucchangidurga Road,Near Kammathahalli Village,,10 Kms,,ದಿನಾಂಕ:-09/01/2019 ರಂದು ಪಿಸಿ-733 ರವರು ತಂದು ಹಾಜರ್ ಪಡಿಸಿದ್ದನ್ನು ಠಾಣೆಯ ಆವರಣದ ಮುಂಭಾಗದಲ್ಲಿ ಜಪ್ತುಪಡಿಸಿಕೊಂಡಿರುತ್ತದೆ,14.616527,76.055204,04:52:17 AM
Vijayanagara,Arasikere PS,10438011720190016,2019,1,2,Road Accidents,Other,Rural Areas,Open area,,Human Error,No,Simple Injury,Head on,Not at  Junction,Slight Curve,Village Road,Bitumen(Tar),Dry,No influence on accident,Snow,Others,Centre Broken Line,Centre Broken Line,Paved,Others,Ramaghatta-Ramaghatta Thanda Road,Near Ra,,24 kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ರಾಮಘಟ್ಟ ತಾಂಡದ ಹತ್ತಿರ ರಾಮಘಟ್ಟ ಹಳ್ಳದಿಂದ ಸುಮಾರು 300 ಅಡಿ ದೂರ ಗುರುಸಿದ್ದಪ್ಪ ರವರ ಜಮೀನಿನ ಬಳಿಯಿರುವ ರಾಮಘಟ್ಟ ತಾಂಡ-ರಾಮಘಟ್ಟ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.56144,76.102104,06:43:35 PM
